NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR), 
BuyNewTrend,399,60% off,Solid Men Round Neck Black T-Shirt,798,
Metronaut,519,41% off,Printed Men Polo Neck Blue T-Shirt,1038,
Kalt,349,55% off,Solid Men Henley Green T-Shirt,698,
ADIDAS,899,60% off,Printed Men Round or Crew White T-Shirt,1798,
Rigo,399,75% off,Solid Men Round or Crew Dark Blue T-Shirt,798,
YouWe Fashion,199,35% off,Typography Men Round or Crew White T-Shirt,398,
Lee,648,40% off,Printed Men Round Neck Dark Blue T-Shirt,1296,
ADIDAS,"1,374",45% off,"Printed Men V-neck Black, Green T-Shirt",2748,
Lotto,809,55% off,Self Design Men Round or Crew Reversible Black T-Shirt,1618,
Leana,356,70% off,"Solid Men Hooded Black, Grey T-Shirt",712,
Wrangler,647,50% off,Printed Men Round or Crew Green T-Shirt,1294,
Shaitaniya Collection,249,75% off,Printed Men's Round Neck Black T-Shirt,498,
ARCEDO,499,68% off,"Color block Men Hooded Grey, Grey T-Shirt",998,
London Hills,899,82% off,"Solid Men Round Neck Maroon, Dark Green, Blue, Grey T-S...",1798,
EASIES BY KILLER,599,70% off,Solid Men Mandarin Collar Grey T-Shirt,1198,
Icable,269,73% off,Solid Men Hooded Dark Blue T-Shirt,538,
Inkovy,399,60% off,"Printed Men Round or Crew White, Black T-Shirt",798,
U.S. Polo Assn,809,55% off,Printed Men Polo Neck Dark Blue T-Shirt,1618,
The Dry State,404,59% off,Color block Men Polo Neck Dark Blue T-Shirt,808,
Allen Solly,479,40% off,Printed Men Round Neck Grey T-Shirt,958,
Canis,189,68% off,Graphic Print Men Round or Crew White T-Shirt,378,
Lifeidea,284,70% off,"Solid Men Hooded Black, White T-Shirt",568,
Puma,779,35% off,Graphic Print Men Round or Crew Blue T-Shirt,1558,
GAP,974,55% off,Applique Men Round Neck Blue T-Shirt,1948,
Inkovy,449,57% off,Military Camouflage Men Hooded Green T-Shirt,898,
ADIDAS,816,65% off,Striped Men Round or Crew Red T-Shirt,1632,
Metronaut,279,64% off,Printed Men Round Neck White T-Shirt,558,
Geum,357,45% off,Self Design Men Hooded Blue T-Shirt,714,
Flying Machine,714,55% off,Solid Men Polo Neck Pink T-Shirt,1428,
Jack & Jones,449,47% off,Graphic Print Men Round Neck Red T-Shirt,898,
ADIDAS,"1,049",75% off,Striped Men Polo Neck Black T-Shirt,2098,
Geum,248,65% off,Solid Men Round Neck White T-Shirt,496,
London Hills,539,82% off,"Solid Men Henley Neck Blue, Dark Blue T-Shirt",1078,
Wildcraft,607,55% off,Solid Men High Neck Purple T-Shirt,1214,
NB NICKY BOY,269,75% off,Checkered Men Round or Crew Maroon T-Shirt,538,
Shaun,"1,034",58% off,Color block Men Hooded Multicolor T-Shirt,2068,
Canis,175,73% off,"Printed Men Round Neck White, Black T-Shirt",350,
NB NICKY BOY,349,68% off,Printed Men Round Neck Multicolor T-Shirt,698,
REEBOK,499,50% off,Self Design Men Round Neck Grey T-Shirt,998,
Indian Terrain,559,60% off,Printed Men Polo Neck Grey T-Shirt,1118,
Rebozo,179,70% off,Printed Men Round Neck Grey T-Shirt,358,
Levi's,985,42% off,Printed Men Round or Crew Red T-Shirt,1970,
Le Bourgeois,509,49% off,"Striped Men Round Neck Black, White T-Shirt",1018,
Kalt,925,48% off,Self Design Men Polo Neck Blue T-Shirt,1850,
Tees Collection,399,68% off,Solid Men Hooded Brown T-Shirt,798,
Concepts,716,55% off,Solid Men Round Neck Multicolor T-Shirt,1432,
Wildcraft,539,40% off,Printed Men Round Neck Blue T-Shirt,1078,
Unisopent Designs,299,70% off,Solid Men Henley Brown T-Shirt,598,
Metronaut,349,71% off,Solid Men Hooded Multicolor T-Shirt,698,
BigIdea,284,51% off,"Color block Men Hooded Red, Black T-Shirt",568,
Chkokko,399,69% off,Solid Men V-Neck Black T-Shirt,798,
Kay Dee,291,75% off,Solid Men Round Neck Black T-Shirt,582,
Converse,494,45% off,Printed Men Round Neck Blue T-Shirt,988,
Pepe Jeans,881,37% off,Solid Men Polo Neck Red T-Shirt,1762,
Jack & Jones,584,55% off,Graphic Print Men Round or Crew Grey T-Shirt,1168,
Indian Terrain,629,55% off,"Striped Men Polo Neck Red, Dark Blue T-Shirt",1258,
YouWe Fashion,199,75% off,Printed Men Round or Crew White T-Shirt,398,
Metronaut,349,65% off,Solid Men Hooded Black T-Shirt,698,
REEBOK,549,50% off,Solid Men Polo Neck Blue T-Shirt,1098,
Arrow Sport,629,65% off,Self Design Men Polo Neck Red T-Shirt,1258,
Ducati,849,50% off,Striped Men Polo Neck Dark Blue T-Shirt,1698,
Jack & Jones,679,60% off,Solid Men Polo Neck Light Blue T-Shirt,1358,
Izod,799,50% off,Self Design Men Mandarin Collar Grey T-Shirt,1598,
Try This,497,61% off,Self Design Men Polo Neck Blue T-Shirt,994,
U.S. Polo Assn,799,50% off,Solid Men Polo Neck Black T-Shirt,1598,
GAP,824,45% off,Printed Men Henley Blue T-Shirt,1648,
Avni's,139,72% off,Typography Men Round Neck White T-Shirt,278,
Duke,837,40% off,Striped Men Polo Neck Multicolor T-Shirt,1674,
V3Squared,394,69% off,Solid Men Hooded Grey T-Shirt,788,
Friskers,274,82% off,Solid Men Round Neck Yellow T-Shirt,548,
London Hills,674,45% off,"Solid Men Round Neck Light Green, Blue, Grey T-Shirt",1348,
U.S. Polo Assn,989,57% off,Printed Men Polo Neck Black T-Shirt,1978,
REEBOK,515,75% off,Solid Men Round or Crew Blue T-Shirt,1030,
CUTOFFS,649,55% off,"Striped Men Round Neck Maroon, Green T-Shirt",1298,
AUSTIN WOOD,299,70% off,Striped Men Polo Neck Multicolor T-Shirt,598,
Fenoix,199,80% off,Striped Men Hooded Neck Dark Blue T-Shirt,398,
U.S. Polo Assn,599,50% off,Printed Men Round or Crew Grey T-Shirt,1198,
Mufti,629,55% off,Solid Men Polo Neck Dark Blue T-Shirt,1258,
Tripr,254,71% off,Printed Men V-Neck Grey T-Shirt,508,
Duke,626,30% off,"Striped Men Polo Neck Black, White, Orange T-Shirt",1252,
Proline Active,524,50% off,Printed Men Round Neck White T-Shirt,1048,
Peter England,647,46% off,Solid Men High Neck Dark Blue T-Shirt,1294,
REEBOK,854,55% off,Solid Men Round or Crew Maroon T-Shirt,1708,
U.S. Polo Assn,779,40% off,Solid Men Round Neck Dark Blue T-Shirt,1558,
Tees Collection,419,66% off,Solid Men Asymmetric Blue T-Shirt,838,
Inkovy,399,69% off,Printed Men Round Neck White T-Shirt,798,
Absolute Defense,299,76% off,Graphic Print Men Round Neck Blue T-Shirt,598,
Jack & Jones,584,55% off,Striped Men Round or Crew Blue T-Shirt,1168,
Louis Philippe Jeans,449,55% off,Printed Men Round Neck Yellow T-Shirt,898,
sesky,232,61% off,Printed Men Round Neck White T-Shirt,464,
Metronaut,279,65% off,Printed Men Round Neck White T-Shirt,558,
U.S. Polo Assn,854,55% off,Striped Men Polo Neck Multicolor T-Shirt,1708,
Tripr,199,60% off,Solid Men V-neck Black T-Shirt,398,
U.S. Polo Assn,499,50% off,Printed Men Round Neck Black T-Shirt,998,
Wearza,339,66% off,"Printed Men Round Neck Black, Maroon T-Shirt",678,
Nike,932,45% off,Solid Men Round or Crew Black T-Shirt,1864,
Wrangler 20X,402,55% off,Printed Men Round Neck Pink T-Shirt,804,
Billion,229,77% off,PerfectFit Printed Men Round or Crew Grey T-Shirt,458,
Wrangler,453,65% off,Printed Men Round Neck Dark Blue T-Shirt,906,
Jockey,949,44% off,"Striped Men Polo Neck Blue, Black T-Shirt",1898,
Kalt,499,55% off,Solid Men Polo Neck White T-Shirt,998,
REEBOK,899,47% off,Solid Men Round Neck Maroon T-Shirt,1798,
ADIDAS,847,62% off,Solid Men Round Neck Blue T-Shirt,1694,
Kalt,349,41% off,Solid Men Round or Crew Black T-Shirt,698,
Jack & Jones,549,50% off,Printed Men Round Neck Red T-Shirt,1098,
REEBOK,549,50% off,Solid Men Polo Neck Grey T-Shirt,1098,
Lee,599,50% off,Printed Men Round Neck Dark Blue T-Shirt,1198,
REEBOK,635,51% off,Printed Men Round Neck Maroon T-Shirt,1270,
Alan Jones,346,65% off,"Striped Men Round or Crew Dark Blue, White T-Shirt",692,
LEWEL,429,78% off,"Color Block Men Hooded Neck Red, White, Blue T-Shirt",858,
EG,296,62% off,"Color Block Men Round Neck Red, Black T-Shirt",592,
Arrow Sport,839,50% off,Solid Men Polo Neck Maroon T-Shirt,1678,
Metronaut,379,80% off,Self Design Men Round or Crew Dark Blue T-Shirt,758,
Metronaut,199,63% off,Graphic Print Men Round or Crew White T-Shirt,398,
Weardo,755,70% off,"Solid Men Polo Neck Blue, Green, Grey T-Shirt",1510,
Canis,209,82% off,"Graphic Print Men Round Neck Black, White T-Shirt",418,
London Hills,719,53% off,"Solid Men Henley Neck Red, Blue, Black T-Shirt",1438,
REEBOK,560,55% off,Printed Men Round or Crew Blue T-Shirt,1120,
Himgiri,445,80% off,Printed Men Round or Crew Blue T-Shirt,890,
Canis,270,66% off,"Printed Men Round Neck White, Black T-Shirt",540,
Arrow Jeans,279,65% off,Solid Men Round or Crew Brown T-Shirt,558,
Flying Machine,439,45% off,Printed Men Round Neck Multicolor T-Shirt,878,
Moochsingh,257,74% off,Graphic Print Men Round or Crew White T-Shirt,514,
Black Collection,479,65% off,Solid Men Turtle Neck Brown T-Shirt,958,
Arrow,"1,139",62% off,Self Design Men's Polo Neck Grey T-Shirt,2278,
Katso,245,80% off,Solid Men Hooded Neck Blue T-Shirt,490,
Billion,279,72% off,PerfectFit Solid Men Henley Grey T-Shirt,558,
ADIDAS,989,45% off,Solid Men Polo Neck White T-Shirt,1978,
Fila,404,55% off,Solid Men Round or Crew Grey T-Shirt,808,
Casotec,226,67% off,Printed Men Round Neck White T-Shirt,452,
Puma,714,45% off,Solid Men Polo Neck Grey T-Shirt,1428,
ADIDAS,989,45% off,Striped Men Polo Neck Grey T-Shirt,1978,
FUNKY GUYS,193,69% off,Solid Men Mandarin Collar Orange T-Shirt,386,
Levi's,934,45% off,Striped Men Round Neck Yellow T-Shirt,1868,
Puma,"1,539",45% off,Self Design Men Round Neck Blue T-Shirt,3078,
DIFFERENCE OF OPINION,449,59% off,Printed Men Round or Crew White T-Shirt,898,
Jack & Jones,499,50% off,Solid Men Polo Neck Black T-Shirt,998,
Puma,899,40% off,Solid Men Round or Crew Green T-Shirt,1798,
Try This,574,42% off,"Solid Men Round or Crew Black, Grey T-Shirt",1148,
U.S.POLO ASSN,838,40% off,Solid Men Polo Neck Maroon T-Shirt,1676,
Call Of Duty,475,40% off,Graphic Print Men Round or Crew Green T-Shirt,950,
Lime,399,50% off,"Color block Men Round or Crew Red, Dark Blue T-Shirt",798,
Nike,"1,595",59% off,Self Design Men's Round Neck Blue T-Shirt,3190,
Red Marine,599,55% off,"Solid Men Polo Neck White, Blue, Yellow T-Shirt",1198,
Concepts,705,72% off,Solid Men Round Neck Multicolor T-Shirt,1410,
Leana,324,81% off,"Solid Men Polo Neck Black, Red T-Shirt",648,
SHAPPHR,288,65% off,"Self Design Men Henley Neck Grey, Black T-Shirt",576,
Metronaut,209,45% off,Self Design Men Round Neck Green T-Shirt,418,
Converse,769,68% off,Self Design Men Polo Neck Blue T-Shirt,1538,
Canis,189,46% off,Solid Men Round Neck Multicolor T-Shirt,378,
Van Heusen Sport,"1,025",41% off,Color Block Men Polo Neck White T-Shirt,2050,
Puma,"1,049",82% off,Self Design Men Round or Crew Grey T-Shirt,2098,
Vimal,523,45% off,Solid Men V-neck Multicolor T-Shirt,1046,
REEBOK,824,42% off,Solid Men Polo Neck Dark Blue T-Shirt,1648,
Highlander,318,43% off,Solid Men Round Neck Black T-Shirt,636,
Kalt,449,45% off,Self Design Men Polo Neck Green T-Shirt,898,
ADIDAS,"1,649",60% off,"Printed Men Round or Crew Red, Black T-Shirt",3298,
Parx,559,65% off,Printed Men Henley Neck White T-Shirt,1118,
Metronaut,454,65% off,Self Design Men Polo Neck Blue T-Shirt,908,
Dinkcart,530,64% off,Graphic Print Men Round or Crew Black T-Shirt,1060,
ADIDAS,749,50% off,Striped Men Round Neck White T-Shirt,1498,
Tap in,270,69% off,"Typography Men Round or Crew Black, Yellow T-Shirt",540,
Arrow Sport,881,37% off,"Striped Men Polo Neck Red, Dark Blue T-Shirt",1762,
Flying Machine,599,40% off,Printed Men Polo Neck Red T-Shirt,1198,
AD & AV,670,62% off,Solid Men V-Neck Multicolor T-Shirt,1340,
REEBOK,599,50% off,Solid Men Polo Neck Grey T-Shirt,1198,
Metronaut,454,65% off,"Printed, Self Design Men Polo Neck Blue T-Shirt",908,
Katso,236,63% off,FabTag - Katso Solid Men Round Neck Light Blue T-Shirt,472,
Monte Carlo,805,30% off,Striped Men Polo Neck Grey T-Shirt,1610,
Try This,658,34% off,"Self Design Men Henley Black, Grey T-Shirt",1316,
Canis,189,68% off,Graphic Print Men Round Neck Multicolor T-Shirt,378,
Wrath,399,73% off,"Color Block Men Round Neck Black, Grey, Maroon T-Shirt",798,
Arrow Sport,927,42% off,Self Design Men Polo Neck Red T-Shirt,1854,
Leana,277,69% off,Solid Men Hooded Dark Blue T-Shirt,554,
U.S. Polo Assn,659,45% off,Printed Men Round Neck Pink T-Shirt,1318,
MoochSingh,257,74% off,Printed Men & Women Round Neck Black T-Shirt,514,
hero & piyush,197,80% off,Solid Men Hooded Black T-Shirt,394,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Maroon T-Shirt,1958,
REEBOK,934,45% off,Striped Men Polo Neck Maroon T-Shirt,1868,
Absolute Defense,299,76% off,Graphic Print Men Round or Crew Black T-Shirt,598,
Arrow Sport,629,65% off,Self Design Men Polo Neck Red T-Shirt,1258,
Arrow New York,"1,139",62% off,"Striped Men Polo Neck Grey, Dark Blue T-Shirt",2278,
Peter England,647,46% off,Printed Men Polo Neck Multicolor T-Shirt,1294,
NxtSkin,239,70% off,Printed Men Round or Crew Red T-Shirt,478,
Peter England,503,37% off,"Striped Men Polo Neck Yellow, Blue T-Shirt",1006,
Elepants,260,73% off,Printed Men Round Neck Blue T-Shirt,520,
YouWe Fashion,199,75% off,Printed Men Round or Crew Reversible Multicolor T-Shirt,398,
MoochSingh,339,66% off,Printed Men's Round Neck White T-Shirt,678,
Spykar,479,52% off,Printed Men Round Neck White T-Shirt,958,
Campus Sutra,444,55% off,Printed Men Round or Crew Pink T-Shirt,888,
U.S. Polo Assn,"1,049",47% off,Solid Men Polo Neck White T-Shirt,2098,
U.S. Polo Assn,599,40% off,Printed Men Round Neck Grey T-Shirt,1198,
People,359,40% off,Solid Men Polo Neck Black T-Shirt,718,
GHPC,323,67% off,Color block Men Round Neck Red T-Shirt,646,
NCY,"1,328",55% off,"Solid Men Polo Neck Black, Yellow, White, Red, Green, G...",2656,
Peter England,440,37% off,Solid Men V Neck Grey T-Shirt,880,
Friskers,247,64% off,Graphic Print Men Round Neck Black T-Shirt,494,
Louis Philippe Sport,674,55% off,Printed Men Polo Neck White T-Shirt,1348,
